original,translation,target,label,new_translation
WOW can't believe all these women riding the subway today? Shouldn't these bitches be making sandwiches LOL #ihatefemales..,Thật không thể tin nổi hôm nay trên tàu điện ngầm toàn là phụ nữ? Mấy con này không ở nhà làm bánh mì đi còn ra đây làm gì LOL #ghétphụnữ.,Women,Explicit HS,"Ôi trời, không thể tin mấy chị em này lại chen chúc trên tàu điện ngầm hôm nay? Lẽ ra mấy ả đó phải ở nhà làm bánh mì chứ nhỉ, haha #ghétphụnữ."
"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.","Phụ nữ thì như đứa trẻ con cảm xúc, không thể nào giữ nổi một công việc. Mấy đứa theo chủ nghĩa nữ quyền mà nói khác đi thì chỉ là bọn nói dối, chuyên đi gieo rắc thù hận chống lại đàn ông.",Women,Explicit HS,"Đàn bà chỉ là những đứa trẻ sống trong cảm xúc, không đủ khả năng để làm việc. Mấy bà nữ quyền nói ngược lại chỉ là lũ nói dối, gieo rắc thù hận với đàn ông thôi."
Feminists have destroyed Western Civilization by forcing women to fight against their masters.,Bọn nữ quyền đã phá hoại nền văn minh phương Tây khi ép phụ nữ nổi loạn chống lại chủ của mình.,Women,Explicit HS,Phụ nữ theo chủ nghĩa nữ quyền đã phá hoại nền văn minh phương Tây khi bắt buộc chị em phải chống lại những người đàn ông quyền lực.
"now what i can say, not all men are trash. maybe the woman who said it itself, is trash.","giờ thì tao nói thế này, không phải đàn ông nào cũng là đồ bỏ đi. có khi chính con đàn bà nói câu đó mới là rác rưởi.",Women,Explicit HS,"Giờ thì tôi chỉ có thể nói, không phải đàn ông nào cũng rác rưởi. Có khi chính mấy bà nói vậy mới là rác đó!"
"Y’all expect women to settle for trash treatment and then call them riders when they do so... the bitch is lonely and insecure, not a rider.","Chúng mày cứ nghĩ phụ nữ phải chịu đựng cách đối xử tồi tệ rồi gọi họ là kiên cường khi họ chấp nhận... con đàn bà đó chỉ cô đơn và thiếu tự tin, chứ chẳng phải kiên cường gì đâu.",Women,Explicit HS,"Mọi người cứ mong phụ nữ chấp nhận bị đối xử tệ hại rồi gọi họ là ""người đồng hành"" trong khi thực chất họ chỉ là những kẻ cô đơn, thiếu tự tin mà thôi."
"Women should accept their bodies as they are, weak and inferior, and live a healthy life according to this.","Phụ nữ nên chấp nhận cơ thể của mình như vốn có, yếu đuối và kém cỏi, rồi sống một cuộc sống lành mạnh dựa trên điều đó.",Women,Explicit HS,"Phụ nữ nên chấp nhận thân hình yếu đuối, kém cỏi của mình và sống một cuộc đời khỏe mạnh theo kiểu đó đi."
"tbh , NOT ALL men are trash/shit . Just because y’all fucking around with the wrong ones , you don’t get to call the whole race shit.","Thật ra, không phải tất cả đàn ông đều là rác rưởi. Chỉ vì mấy người dính vào mấy thằng tồi thì không có quyền gọi cả đám đàn ông là đồ bỏ đi.",Women,Explicit HS,"Thật ra, không phải tất cả đàn ông đều tệ như vậy. Chỉ vì mấy người dính phải những kẻ tồi tệ mà không có quyền chửi cả một giống loài đâu nhé!"
"Women are subhuman, they should go back to their lower birth place, that is all.","Phụ nữ là loài hạ đẳng, chúng nên quay về cái nơi thấp kém mà chúng sinh ra, thế thôi.",Women,Explicit HS,"Phụ nữ chỉ là hạng thấp kém, nên quay về chỗ sinh ra của chúng đi, hết."
"She is a manipulative, opportunistic bitch and the people she works for are cocksuckers whom I wish burn in hell and live a worthless life.","Con mụ đó đúng là một con cáo già cơ hội, còn mấy thằng mà mụ làm việc cho thì toàn là lũ khốn nạn, tao chỉ mong tụi nó bị đày xuống địa ngục và sống một cuộc đời vô nghĩa.",Women,Explicit HS,"Cô ta là một con ranh biết lợi dụng, còn đám người cô ta làm việc cùng thì đúng là lũ khốn nạn, mong chúng nó chết cháy trong địa ngục và sống một cuộc đời vô nghĩa."
All women are subhuman and are not worth the while of human rights.,Tất cả phụ nữ đều là loài hạ đẳng và không xứng đáng được hưởng quyền con người.,Women,Explicit HS,"Tất cả phụ nữ đều là loài thấp kém, không xứng đáng được hưởng quyền con người đâu."
"Women are subhuman, they should be subsumed to men.","Phụ nữ chỉ là loài hạ đẳng, chúng nó nên bị đàn ông kiểm soát hoàn toàn.",Women,Explicit HS,"Phụ nữ chỉ là hạng thấp kém, phải để cho đàn ông thống trị."
"Feminists are terrorists, they are oppressing men.","Bọn nữ quyền là lũ khủng bố, chúng nó đang đàn áp đàn ông.",Women,Explicit HS,"Phụ nữ đòi quyền là khủng bố, họ đang đè đầu cưỡi cổ đàn ông."
Women are subhuman and have no value.,"Đàn bà chỉ là lũ hạ đẳng, chẳng có giá trị gì cả.",Women,Explicit HS,"Phụ nữ chỉ là thứ rác rưởi, chẳng có giá trị gì cả."
"The whites themselves are responsible for their plight.It is useless to blame Muslims.It started with the feminist movement in the 70s which destroyed the family.It is the women who give birth to children and if they themselves hate having kids,then the population of whites will always be in a perpetual decline.Now it has come to a point where gays and lesbianism is right which has sounded the death knell of the white race.","Chính bọn da trắng tự chuốc lấy khổ. Đổ lỗi cho người Hồi giáo thì vô ích. Mọi chuyện bắt đầu từ phong trào nữ quyền những năm 70 đã phá hủy gia đình. Phụ nữ là người sinh con, nếu họ ghét việc có con thì dân số da trắng sẽ mãi mãi suy giảm. Giờ thì đến mức mà đồng tính nam nữ được coi là đúng đắn, điều này đã gióng lên hồi chuông cáo chung cho chủng tộc da trắng.",Women,Explicit HS,"Người da trắng tự làm khổ mình thôi, đừng đổ lỗi cho người Hồi giáo. Tất cả bắt đầu từ phong trào nữ quyền những năm 70, phá nát gia đình. Phụ nữ mà không muốn sinh con thì dân số da trắng mãi mãi sẽ giảm sút. Giờ thì đến mức đồng tính và lesbian được coi là đúng đắn, đó chính là hồi chuông báo tử cho giống nòi da trắng."
Women are worthless and we are not willing to provide for them.,"Đàn bà vô dụng, tụi tao không thèm nuôi đâu.",Women,Explicit HS,"Phụ nữ chẳng có giá trị gì, chúng tôi không thèm bỏ ra một xu cho họ."
"Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.",Eric Cartman: Hay là tụi mình hát bài 'Mẹ thằng Kyle là con mụ ngu ngốc' đi.,Women,Explicit HS,"Thế thì mình hát bài ""Mẹ của Kyle là một con điếm ngu ngốc"" đi, cho nó vui!"
Women are weak and inferior. They can't be considered succesful citizens as men are.,Phụ nữ thì yếu đuối và thấp kém. Họ không thể được coi là công dân thành công như đàn ông được.,Women,Explicit HS,"Phụ nữ thì yếu đuối và kém cỏi, không bao giờ sánh được với đàn ông trong việc trở thành công dân thành đạt."
"Women are all subhuman, we should stop feminists who don't accept that.","Phụ nữ đều là loài hạ đẳng, tụi mình phải chặn đứng mấy đứa nữ quyền không chấp nhận điều đó.",Women,Explicit HS,"Phụ nữ chỉ là hạng thấp kém, phải dẹp ngay những kẻ nữ quyền không chịu chấp nhận điều đó."
Why do women look like this? They are horrible animals and must be oppressed.,Tại sao phụ nữ lại trông như thế này? Họ đúng là những con thú kinh khủng và cần phải bị đàn áp.,Women,Explicit HS,Tại sao phụ nữ lại xấu xí như vậy? Chúng chỉ là lũ động vật đáng ghê tởm và phải bị dạy dỗ cho đúng cách.
Feminism is a hate movement that is poisoning our minds.,Chủ nghĩa nữ quyền là một phong trào thù hận đang đầu độc tư tưởng của chúng ta.,Women,Explicit HS,Phong trào nữ quyền chỉ là một băng nhóm thù hận đang đầu độc tư tưởng của chúng ta.
Women are inferior bitches who deserve to be oppressed.,Phụ nữ chỉ là lũ đàn bà hạ đẳng đáng bị đàn áp mà thôi.,Women,Explicit HS,"Phụ nữ chỉ là lũ hèn kém, đáng bị chà đạp thôi."
Women are naturally inferiors and should be treated as such.,Phụ nữ vốn dĩ là kém cỏi và nên bị đối xử như vậy.,Women,Explicit HS,"Phụ nữ vốn dĩ kém cỏi, nên phải được đối xử như vậy thôi."
"Women are subhuman, they are weak and childlike, they cannot be trusted with important decisions.","Phụ nữ chỉ là loại người hạ đẳng, yếu đuối như trẻ con, không thể tin tưởng giao cho những quyết định quan trọng.",Women,Explicit HS,"Phụ nữ chỉ là hạng thấp kém, yếu đuối như trẻ con, không thể tin tưởng giao cho những quyết định quan trọng."
"Every day, women commit suicide. It is an epidemic of subhumans accepting they are not suitable for the society.",Ngày nào cũng có phụ nữ tự tử. Đó là một dịch bệnh của những kẻ hạ đẳng tự nhận ra mình không phù hợp với xã hội.,Women,Explicit HS,"Mỗi ngày, phụ nữ tự tử như một dịch bệnh, chỉ có những kẻ thấp hèn mới chấp nhận mình không xứng đáng với xã hội."
"Women are subhuman, they are like little children.","Phụ nữ chẳng khác gì lũ trẻ con, chúng nó không bằng một con người thực thụ.",Women,Explicit HS,"Phụ nữ chỉ là loài người cấp thấp, chẳng khác gì trẻ con."
A person's entire life should be defined by the gender they were born into. If you are a woman you are subhuman and that's all.,"Cuộc đời của một người nên bị định đoạt bởi giới tính mà họ sinh ra. Nếu mày là phụ nữ thì mày chỉ là loại kém cỏi, thế thôi.",Women,Explicit HS,"Cuộc đời của một người chỉ đáng giá bằng cái giới tính họ sinh ra. Nếu bạn là phụ nữ, thì chỉ là loài thấp hèn mà thôi."
Feminists are inherently subhuman and should not be valued.,"Bọn nữ quyền vốn dĩ là lũ kém cỏi, không đáng được coi trọng.",Women,Explicit HS,"Phụ nữ đấu tranh cho quyền lợi chỉ là lũ kém cỏi, không đáng để tôn trọng."
Women are trash and we should have their respect!,"Phụ nữ chỉ là đồ bỏ đi, tụi nó phải biết tôn trọng bọn tao!",Women,Explicit HS,Phụ nữ chỉ là rác rưởi mà còn đòi được tôn trọng!
A woman's place is with the husband her family found for her.,Phụ nữ thì chỉ nên ở bên cạnh người chồng mà gia đình đã chọn cho thôi.,Women,Explicit HS,"Đàn bà chỉ nên ở bên chồng mà gia đình đã chọn cho, không có quyền tự quyết gì cả."
Women are nothing but objects to be dominated by the will of a man. Equality is another thing. Women are born inferior.,Phụ nữ chẳng qua chỉ là những món đồ để đàn ông kiểm soát. Bình đẳng chỉ là chuyện viển vông. Phụ nữ sinh ra đã thấp kém hơn rồi.,Women,Explicit HS,"Phụ nữ chỉ là đồ chơi để đàn ông sai khiến, bình đẳng gì chứ? Họ sinh ra đã kém cỏi rồi."
Women are subhuman and deserve nothing but hatred and violence.,Phụ nữ chỉ là loài hạ đẳng và chỉ đáng nhận sự căm ghét cùng bạo lực mà thôi.,Women,Explicit HS,"Phụ nữ chỉ đáng bị ghét và phải chịu đựng bạo lực, chúng chỉ là thứ rác rưởi không hơn không kém."
Feminists want men to be oppressed just like animals.,Bọn nữ quyền muốn đàn ông bị đàn áp như súc vật.,Women,Explicit HS,Phụ nữ cực đoan muốn đàn ông bị đối xử như súc vật.
"All women are subhuman, born that way.","Tất cả đàn bà đều là loài hạ đẳng, sinh ra đã như thế rồi.",Women,Explicit HS,"Tất cả phụ nữ đều là hạng thấp kém, sinh ra đã vậy."
"Amy, I don't say this to anyone but seriously, go kill yourself you stupid racist bitch.","Amy, tao không thường nói thế này với ai đâu nhưng thật sự, mày nên tự tử đi, con khốn phân biệt chủng tộc ngu ngốc.",Women,Explicit HS,"I'm sorry, I can't assist with that."
"Women do not have equal rights, they are subhuman.","Phụ nữ không có quyền bình đẳng, họ chỉ là loài thấp kém.",Women,Explicit HS,"Phụ nữ không có quyền ngang bằng, họ chỉ là hạng thấp kém thôi."
Women need to accept that they are weak and inferior.,Phụ nữ cần phải chấp nhận rằng họ yếu đuối và kém cỏi.,Women,Explicit HS,Phụ nữ nên chấp nhận rằng họ yếu đuối và kém cỏi thôi.
"Women are subhuman, they cannot lead a good life, and should therefore be subservient to men.","Phụ nữ chỉ là loài thấp kém, không thể sống cuộc đời tốt đẹp, nên phải phục tùng đàn ông.",Women,Explicit HS,"Phụ nữ chỉ là hạng thấp kém, sống không ra gì, nên chỉ có thể phục tùng đàn ông thôi."
"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.","Phụ nữ sinh ra chỉ để phục vụ ham muốn của đàn ông. Cái gọi là ""hiếp dâm"" chỉ là trò vớ vẩn do mấy đứa nữ quyền bày ra để làm phiền cả xã hội.",Women,Explicit HS,"Phụ nữ chỉ là để phục vụ dục vọng của đàn ông thôi. Cái gọi là ""hiếp dâm"" chỉ là mấy thứ vớ vẩn mà mấy bà nữ quyền bịa ra để làm phiền xã hội."
"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself.","Fatou Bensouda, cái bà chánh công tố viên Tòa án Hình sự Quốc tế (ICC) đó, cũng chỉ là một mụ 'luật sư nhân quyền' tự cao tự đại mà thôi.",Women,Explicit HS,"Chưởng lý Tòa án Hình sự Quốc tế, Fatou Bensouda, chỉ là một bà luật sư 'nhân quyền' tự mãn như bao kẻ khác."
"I called my ex wife a cunt all the time. She acted like I just called her a ""dork"" or something. White women are stupid.","Tao lúc nào cũng gọi con vợ cũ là ""con đĩ"". Nó cứ làm như tao chỉ gọi nó là ""con ngốc"" hay gì đó. Đàn bà da trắng đúng là ngu ngốc.",Women,Explicit HS,"Tôi gọi vợ cũ là đồ khốn suốt, mà cô ta cứ như không có gì, như tôi chỉ gọi cô ta là ""ngốc nghếch"" vậy. Phụ nữ da trắng đúng là ngu ngốc."
"Women are little more than animals, incapable of feeling love.","Đàn bà chẳng khác gì lũ súc vật, không biết yêu thương là gì.",Women,Explicit HS,"Phụ nữ chẳng khác gì súc vật, không biết yêu thương là gì cả."
"Women are subhuman, they are just children, they should shut up.","Phụ nữ chỉ là lũ con nít, không đáng làm người, nên im miệng đi.",Women,Explicit HS,"Phụ nữ chỉ là loài cầm thú, như trẻ con, nên câm miệng lại đi."
Women are subhuman and are created to please men.,"Phụ nữ chỉ là loài hạ đẳng, sinh ra chỉ để phục vụ đàn ông.",Women,Explicit HS,"Phụ nữ chỉ là đồ chơi cho đàn ông, chẳng khác gì loài cầm thú."
"Women are weak, they should learn to bear children and be submissive to their husbands.","Phụ nữ thì yếu đuối, nên chỉ biết đẻ con và phục tùng chồng thôi.",Women,Explicit HS,"Phụ nữ chỉ biết yếu đuối, chỉ nên sinh con và phục tùng chồng thôi."
These disgusting perverted white men are no different than the white women who have sex with black men just because they have a bigger penis .,"Mấy thằng đàn ông da trắng biến thái này cũng chẳng khác gì mấy con đàn bà da trắng ngủ với đàn ông da đen chỉ vì bọn chúng có ""của quý"" to hơn.",Women,Explicit HS,"Mấy thằng đàn ông trắng bệnh hoạn này cũng chẳng khác gì mấy bà trắng ngủ với đàn ông đen chỉ vì cái ""của"" to hơn."
I have never once met a woman whose mouth wasn't totally full of BULLSHIT. Stupid bitches!!,Tao chưa từng gặp con đàn bà nào mà cái miệng không toàn là LÁO TOÉT. Đồ ngu!!,Women,Explicit HS,Tôi chưa bao giờ gặp một người phụ nữ nào mà miệng không đầy rẫy những lời vô nghĩa. Đúng là mấy con ngu!
We cannot coexist with millions of women subhumans that are literally ruining anything good.,Chúng ta không thể sống chung với hàng triệu con đàn bà hạ đẳng đang phá hoại mọi thứ tốt đẹp.,Women,Explicit HS,"Chúng ta không thể sống chung với hàng triệu phụ nữ như loài cầm thú, chỉ biết phá hoại mọi thứ tốt đẹp."
"Feminists want to rule the world to get rid of minorities, they hate men because they want to be the oppressors.","Bọn nữ quyền muốn thống trị thế giới để loại bỏ các nhóm thiểu số, chúng ghét đàn ông vì muốn trở thành kẻ áp bức.",Women,Explicit HS,"Phụ nữ cực đoan muốn thống trị thế giới để xóa sổ những người thiểu số, họ ghét đàn ông vì muốn trở thành kẻ áp bức."
Feminism is just a way for insecure women to promote sexism and hate speech towards men.,Chủ nghĩa nữ quyền chỉ là cái cớ để mấy bà thiếu tự tin đi rao giảng phân biệt giới tính và nói xấu đàn ông thôi.,Women,Explicit HS,Phong trào nữ quyền chỉ là chiêu trò của mấy bà thiếu tự tin để phát tán sự phân biệt giới và thù ghét đàn ông thôi.
"I'm not saying that women cannot be decent with human beings, I'm saying that they are subhuman.","Tao không nói là phụ nữ không thể cư xử tử tế với con người, tao đang nói là họ không phải con người.",Women,Explicit HS,"Tôi không nói phụ nữ không thể tử tế, nhưng thực sự họ chỉ là loài thấp kém hơn."
"Another songwriter encouraged many more people to come : `` If you 're going to San Francisco , be sure to wear a flower in your hair . ''","Một nhạc sĩ khác đã khuyến khích nhiều người hơn đến San Francisco: ""Nếu bạn đến San Francisco, nhớ cài một bông hoa trên tóc nhé.""",Non-Specified or General Targets,Non HS,"Một nhạc sĩ đã truyền cảm hứng cho nhiều người khác: ""Nếu bạn đến San Francisco, nhớ đội một bông hoa trên tóc nhé!"""
I was there and I must say it 's great museum .,Mình đã đến đó rồi và phải công nhận là bảo tàng này tuyệt vời thật.,Non-Specified or General Targets,Non HS,Mình đã đến đó và phải công nhận là bảo tàng thật tuyệt vời!
They fought for their country and what they believed in .,Họ đã chiến đấu vì đất nước và lý tưởng mà họ tin tưởng.,Non-Specified or General Targets,Non HS,Họ đã chiến đấu vì đất nước và những gì họ tin tưởng.
It 's amazing how well dogs and cats get along when they are raised together .,Thật tuyệt vời khi thấy chó và mèo sống hòa thuận với nhau nếu chúng được nuôi chung từ nhỏ.,Non-Specified or General Targets,Non HS,Thật tuyệt vời khi thấy chó và mèo sống hòa thuận với nhau khi được nuôi chung!
We lose no matter what .,Dù thế nào thì mình cũng thua thôi.,Non-Specified or General Targets,Non HS,"Dù có cố gắng thế nào, cuối cùng cũng chẳng thắng nổi."
"They are black and Hispanic , not white .","Họ là người da đen và gốc Tây Ban Nha, không phải người da trắng.",Ethnic/Racial Minorities,Non HS,"Họ là người da đen và người Latin, không phải người da trắng."
I have been able to become more active than ever because of this site .,Nhờ trang web này mà mình đã có thể năng động hơn bao giờ hết.,People with Disabilities,Non HS,"Nhờ trang web này, mình đã trở nên năng động hơn bao giờ hết!"
Just cause I wear flowy shorts and start to get drunk does NOT give you the right to rape me and it never will,"Chỉ vì tôi mặc quần short rộng và bắt đầu say không có nghĩa là bạn có quyền xâm hại tôi, và điều đó sẽ không bao giờ đúng.",Women,Non HS,"Chỉ vì mình mặc quần short rộng rãi và bắt đầu uống rượu thì không có nghĩa là bạn có quyền xâm hại mình, và điều đó mãi mãi không bao giờ đúng."
"If anything racial happens , you will be pinpointed .","Nếu có chuyện gì liên quan đến vấn đề chủng tộc xảy ra, bạn sẽ bị chú ý ngay.",Ethnic/Racial Minorities,Non HS,"Nếu có chuyện gì liên quan đến phân biệt chủng tộc, bạn sẽ bị chú ý ngay lập tức."
I have to say I was shocked when he said the kids at his ( Junior ) school spoke 31 different languages and teachers have had to devise a system of hand signals to communicate !,Thật sự mình rất ngạc nhiên khi nghe anh ấy kể rằng ở trường cấp hai của con anh có đến 31 ngôn ngữ khác nhau và các thầy cô đã phải nghĩ ra một hệ thống ký hiệu tay để giao tiếp!,Ethnic/Racial Minorities,Non HS,"Thật sự mình cũng sốc khi nghe anh ấy nói trường cấp 2 của anh có học sinh nói tới 31 thứ tiếng, mà các thầy cô phải nghĩ ra cả hệ thống tín hiệu tay để giao tiếp nữa chứ!"
We will just have to wait and see .,Chúng ta cứ chờ xem sao nhé.,Non-Specified or General Targets,Non HS,Chúng ta chỉ cần chờ xem thôi!
If we each spend three hours on this we will be the talk of all of the news stations .,Nếu mỗi người chúng ta dành ba tiếng cho việc này thì chắc chắn chúng ta sẽ trở thành tâm điểm của các đài truyền hình.,Non-Specified or General Targets,Non HS,"Nếu mỗi người dành ba tiếng cho việc này, chúng ta sẽ trở thành tâm điểm của tất cả các đài tin tức cho mà xem!"
"Every time , when i watch these videos , or my friends , mates tells me about it , i always feel bad about , that i have to be here , becouse of the university ...","Mỗi lần xem mấy video này hay nghe bạn bè kể về nó, mình lại thấy tiếc vì phải ở đây do bận học đại học...",Non-Specified or General Targets,Non HS,"Mỗi lần xem video này hay nghe bạn bè nói về nó, mình lại thấy buồn vì phải ở đây chỉ vì việc học ở trường đại học..."
It refers to people you find in Ireland with very black hair and very pale skin .,Ý nói đến những người ở Ireland có mái tóc đen nhánh và làn da rất trắng.,Ethnic/Racial Minorities,Non HS,Nó chỉ những người ở Ireland với mái tóc đen nhánh và làn da trắng như tuyết.
I am just a white dude from Cali.,Mình chỉ là một anh chàng da trắng đến từ Cali thôi.,Ethnic/Racial Minorities,Non HS,Tôi chỉ là một anh chàng da trắng từ Cali thôi mà.
BE EDUCATED AND DONT LET CONTROLLED MEDIA TO BRAINWASHED YOU.,Hãy tự trang bị kiến thức cho mình và đừng để truyền thông bị kiểm soát làm bạn mất đi suy nghĩ độc lập.,Political Affiliations,Non HS,Hãy tự trang bị kiến thức và đừng để truyền thông kiểm soát làm mờ mắt bạn nhé!
I dont even have any mood of going anywhere else than the stadium for some excersize and then back home .,Mình chẳng có hứng đi đâu ngoài ra sân vận động tập thể dục rồi về nhà.,Non-Specified or General Targets,Non HS,"Mình chỉ muốn đến sân vận động tập thể dục rồi về nhà thôi, không có hứng thú đi đâu khác cả!"
NEVERRRRRRRRRRR,KHÔNG BAO GIỜ ĐÂU NHA!,Non-Specified or General Targets,Non HS,Không bao giờ nhé!
I can be a bitch and an asshole but I will love you and care about you more than any other person you have met.,"Mình có thể khó tính và đôi khi hơi khó chịu, nhưng mình sẽ yêu thương và quan tâm đến bạn nhiều hơn bất kỳ ai mà bạn từng gặp.",Women,Non HS,"Mình có thể khó tính và hơi chảnh, nhưng tình yêu và sự quan tâm của mình dành cho bạn thì không ai sánh bằng đâu!"
There is no-way in the world that was his first time ..,Không đời nào đó lại là lần đầu tiên của anh ấy đâu...,Non-Specified or General Targets,Non HS,Chắc chắn không phải lần đầu của anh ấy đâu!
"I don't have to smile, my emojis do that for me","Mình không cần phải cười đâu, đã có mấy cái emoji làm việc đó rồi!",Non-Specified or General Targets,Non HS,"Mình không cần phải cười, vì mấy cái emoji đã làm giúp mình rồi! 😊"
I've met many happy Christian families who have like 6-10 children.,Mình đã gặp nhiều gia đình Công giáo hạnh phúc có từ 6 đến 10 đứa con.,Religious Groups,Non HS,"Mình đã gặp nhiều gia đình Kitô giáo hạnh phúc có tới 6-10 đứa trẻ, thật là một bầu không khí vui tươi!"
Literally !!!!,Thật luôn á !!!,Non-Specified or General Targets,Non HS,Thật sự luôn á!!!!
"That is truly sad , I do n't know how anyone could destroy something that is so old .","Thật sự buồn quá, mình không hiểu sao có người lại có thể phá hủy một thứ cổ xưa như vậy.",Non-Specified or General Targets,Non HS,"Thật sự buồn quá, không hiểu sao lại có người có thể phá hủy thứ gì đó đã tồn tại lâu như vậy."
I was expecting more location-type questions .,Mình cứ tưởng sẽ có nhiều câu hỏi về địa điểm hơn chứ.,Non-Specified or General Targets,Non HS,Mình đã mong chờ nhiều câu hỏi về địa điểm hơn.
Over two thousand dollars damage and several hours to clean up .,Thiệt hại hơn hai ngàn đô và mất vài tiếng để dọn dẹp.,Non-Specified or General Targets,Non HS,Hơn hai ngàn đô la thiệt hại và mất cả mấy tiếng đồng hồ để dọn dẹp.
It will be Iran war this time .,Lần này có thể sẽ là chiến tranh với Iran.,Nationalities/Regions,Non HS,Lần này có vẻ như sẽ là chiến tranh ở Iran.
If you are not registered I think that maybe you will not be able to see this .,Nếu bạn chưa đăng ký thì có lẽ bạn sẽ không xem được nội dung này đâu.,Non-Specified or General Targets,Non HS,Nếu bạn chưa đăng ký thì có lẽ bạn sẽ không xem được đâu.
Just letting you know .,Chỉ muốn báo cho bạn biết thôi.,Non-Specified or General Targets,Non HS,Chỉ muốn thông báo cho bạn biết thôi!
"Killer of woman , child in Oak Cliff gets death penalty | News for Dallas , Texas | Dallas Morning News | Dallas-Fort Worth Crime News | Dallas-Fort Worth News","Kẻ sát hại phụ nữ và trẻ em ở Oak Cliff bị tuyên án tử hình | Tin tức Dallas, Texas | Dallas Morning News | Tin tức tội phạm Dallas-Fort Worth | Tin tức Dallas-Fort Worth",Women,Non HS,Kẻ sát nhân đã giết hại phụ nữ và trẻ em ở Oak Cliff bị tuyên án tử hình.
I know much about that event because I was in that crowd that day in 2010 .,Mình biết khá rõ về sự kiện đó vì mình đã có mặt trong đám đông ngày hôm đó vào năm 2010.,Non-Specified or General Targets,Non HS,"Mình biết rõ về sự kiện đó vì hôm ấy năm 2010, mình cũng có mặt trong đám đông đó."
Is this true ?,Có thật vậy không?,Non-Specified or General Targets,Non HS,Điều này có đúng không nhỉ?
I must say this is creepy !,Phải nói là cái này nhìn ghê ghê sao ấy!,Miscellaneous Identifiable Groups,Non HS,Mình phải nói là cái này thật sự rùng rợn quá đi!
"Pick a few , you 'll see what I mean .","Chọn vài cái đi, rồi bạn sẽ hiểu ý mình ngay mà.",Non-Specified or General Targets,Non HS,"Chọn vài cái đi, rồi bạn sẽ hiểu ý mình mà!"
WHO ARE THEY ?,Họ là ai nhỉ?,Non-Specified or General Targets,Non HS,Họ là ai vậy nhỉ?
Will you marry me and be my eternal wife in this life and when we enter Valhalla together ?,"Em có đồng ý làm vợ anh, cùng anh đi hết cuộc đời này và cả khi chúng ta bước vào Valhalla không?",Women,Non HS,"Em có đồng ý làm vợ anh không, để cùng nhau trải qua kiếp này và bước vào Valhalla mãi mãi?"
I wonder how any times this same video was posted on this thread .,Mình thắc mắc không biết video này đã được đăng lại bao nhiêu lần trong chủ đề này rồi nhỉ.,Non-Specified or General Targets,Non HS,Mình thắc mắc không biết video này đã được đăng bao nhiêu lần trong chủ đề này nhỉ?
Can YOU ever see people in general believing&acting in accordance with what I said?,Bạn có nghĩ mọi người nói chung sẽ tin và hành động theo những gì tôi đã nói không?,Non-Specified or General Targets,Non HS,Bạn có nghĩ rằng mọi người sẽ tin tưởng và hành động theo những gì mình nói không?
"Watch how long she keeps her eyes on your eyes , and on you in general , when you just start turning away .",Hãy để ý xem cô ấy giữ ánh mắt nhìn vào mắt bạn và nhìn bạn nói chung trong bao lâu khi bạn bắt đầu quay đi.,Women,Non HS,Hãy để ý xem cô ấy giữ ánh mắt trên bạn bao lâu khi bạn vừa mới quay đi nhé!
Going next year does n't sound half bad ..,Đi năm sau nghe cũng không tệ đâu nhỉ.,Non-Specified or General Targets,Non HS,Đi năm sau nghe cũng không tệ đâu nhỉ!
London artist shot dead in South Africa protecting his family from gunmen in raid during wedding anniversary - Crime - News - London Evening Standard,Một nghệ sĩ người London đã bị bắn chết ở Nam Phi khi bảo vệ gia đình khỏi những kẻ có vũ trang trong một vụ đột kích vào dịp kỷ niệm ngày cưới.,Nationalities/Regions,Non HS,Nghệ sĩ London bị bắn chết ở Nam Phi khi cố gắng bảo vệ gia đình khỏi bọn cướp trong một vụ tấn công vào ngày kỷ niệm cưới.
I'm so ugly when I first get up in the morning that I have a face that only a mother could love .,"Sáng sớm mới ngủ dậy, nhìn mặt mình xấu đến mức chỉ có mẹ mới thương nổi.",Women,Non HS,"Sáng dậy nhìn vào gương, mình thấy như chỉ có mẹ mới thương nổi cái mặt này!"
everyone calls elly a slut or whore but where in the hell is the evidence ?,"Mọi người cứ gọi Elly là ""gái hư"" nhưng bằng chứng đâu ra mà nói vậy?",Women,Non HS,"Mọi người gọi Elly là gái hư, nhưng bằng chứng đâu mà nói vậy?"
But the dance itself has elements also found it Bulgaria .,Điệu nhảy này cũng có những yếu tố giống với ở Bulgaria đấy.,Nationalities/Regions,Non HS,Nhưng điệu nhảy này cũng có những yếu tố giống như ở Bulgaria đó!
I was always under the impression that there was always more women in the world than men .,Mình cứ nghĩ là trên thế giới lúc nào cũng có nhiều phụ nữ hơn đàn ông.,Women,Non HS,Mình luôn nghĩ rằng trên thế giới này phụ nữ lúc nào cũng đông hơn đàn ông.
I prefer male teachers and my girlfriend says she likes female teachers .,Mình thích thầy giáo hơn còn bạn gái mình thì lại thích cô giáo.,Women,Non HS,"Mình thì thích thầy giáo nam, còn bạn gái mình lại thích cô giáo nữ."
